id,diseaseIds,isInMembrane,locations_clean
ENSG00000175471,['MONDO_0007254'],0,"Cytoplasmic vesicle,Recycling endosome,Endoplasmic reticulum membrane,Golgi apparatus"
ENSG00000104321,['MONDO_0007254'],1,Cell membrane
ENSG00000221716,['MONDO_0007254'],,No location data
ENSG00000140396,['MONDO_0007254'],0,"Nucleus,Nuclear bodies,Nucleoplasm"
ENSG00000164778,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Nucleoli,Nucleoli fibrillar center"
ENSG00000113073,['MONDO_0007254'],1,"Basolateral cell membrane,Cytosol,Plasma membrane,Vesicles"
ENSG00000244474,['MONDO_0007254'],0,Endoplasmic reticulum membrane
ENSG00000128652,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Nuclear bodies"
ENSG00000134955,['MONDO_0007254'],0,Endoplasmic reticulum membrane
ENSG00000160716,['MONDO_0007254'],1,"Postsynaptic cell membrane,Cell membrane"
ENSG00000189079,['MONDO_0007254'],1,"Nucleus,Nucleoplasm"
ENSG00000136931,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Cytosol"
ENSG00000196420,['MONDO_0007254'],0,Nucleoplasm
ENSG00000111012,['MONDO_0007254'],0,Mitochondrion membrane
ENSG00000142065,['MONDO_0007254'],0,"Nucleus,Nuclear speckles"
ENSG00000127364,['MONDO_0007254'],0,"Membrane,Cell projection"
ENSG00000068097,['MONDO_0007254'],0,Mitochondria
ENSG00000157330,['MONDO_0007254'],0,"Cytoplasm,Cytosol"
ENSG00000112246,['MONDO_0007254'],0,"Nucleus,Nuclear speckles"
ENSG00000132740,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Cell projection,Nucleoplasm,Nuclear bodies"
ENSG00000178795,['MONDO_0007254'],0,Membrane
ENSG00000234741,['MONDO_0007254'],,No location data
ENSG00000128656,['MONDO_0007254'],0,Cytosol
ENSG00000022556,['MONDO_0007254'],0,"Cytoplasm,Cytosol,Golgi apparatus,Vesicles"
ENSG00000100387,['MONDO_0007254' 'MONDO_0007254'],0,"Cytoplasm,Nucleus,Nucleoplasm"
ENSG00000205592,['MONDO_0007254'],0,Secreted
ENSG00000109101,['MONDO_0007254'],0,Nucleus
ENSG00000111247,['MONDO_0007254'],0,"Chromosome,Nucleus,Nucleoplasm"
ENSG00000112116,['MONDO_0007254'],0,Secreted
ENSG00000254703,['MONDO_0007254'],,No location data
ENSG00000164794,['MONDO_0007254'],1,"Cell membrane,Cytokinetic bridge,Plasma membrane"
ENSG00000201098,['MONDO_0007254'],,No location data
ENSG00000101144,['MONDO_0007254'],0,"Secreted,Vesicles,Nucleoplasm,Predicted to be secreted"
ENSG00000267272,['MONDO_0007254'],,No location data
ENSG00000255986,['MONDO_0007254'],,No location data
ENSG00000122644,['MONDO_0007254'],0,"Cell membrane,Cytoplasm,Nucleus,Nucleoplasm,Cytosol"
ENSG00000114204,['MONDO_0007254'],0,Secreted
ENSG00000277734,['MONDO_0007254'],1,Cell membrane
ENSG00000249395,['MONDO_0007254'],,No location data
ENSG00000137273,['MONDO_0007254'],0,"Nucleus,Nuclear bodies,Nucleoplasm,Vesicles"
ENSG00000196167,['MONDO_0007254'],0,Membrane
ENSG00000273820,['MONDO_0007254'],0,"Cytoplasm,Vesicles,Nucleoplasm"
ENSG00000180806,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000049167,['MONDO_0007254'],0,"Nucleus,Nucleus matrix,Nuclear speckles"
ENSG00000186594,['MONDO_0007254'],,No location data
ENSG00000101457,['MONDO_0007254'],0,"Nucleus,Mitotic chromosome,Nucleoli,Nucleoli rim,Nucleoplasm"
ENSG00000204520,['MONDO_0007254'],1,"Cell membrane,Cytoplasm"
ENSG00000175879,['MONDO_0007254'],0,Nucleus
ENSG00000104972,['MONDO_0007254'],1,"Cell membrane,[Isoform 5]: Secreted"
ENSG00000198719,['MONDO_0007254'],1,"Apical cell membrane,Cell junction,Membrane raft,Plasma membrane"
ENSG00000233725,['MONDO_0007254'],,No location data
ENSG00000120075,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Cytosol,Nucleoli fibrillar center"
ENSG00000115738,['MONDO_0007254'],0,"Cytoplasm,Nucleus,Nuclear bodies,Nucleoplasm,Centrosome"
ENSG00000159625,['MONDO_0007254'],0,"Cell projection,Cytoplasm"
ENSG00000100296,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Nucleoplasm"
ENSG00000074219,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000187135,['MONDO_0007254'],0,Membrane
ENSG00000230176,['MONDO_0007254'],,No location data
ENSG00000174429,['MONDO_0007254'],0,Cytoplasm
ENSG00000105568,['MONDO_0007254'],0,"Cytoplasm,Nucleus,Chromosome,Lateral cell membrane,Cell projection,Cytosol"
ENSG00000130700,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Cytosol"
ENSG00000090932,['MONDO_0007254'],1,"Membrane,Nucleoplasm,Golgi apparatus,Plasma membrane"
ENSG00000005812,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Nuclear bodies"
ENSG00000187474,['MONDO_0007254'],1,Cell membrane
ENSG00000167767,['MONDO_0007254'],0,Intermediate filaments
ENSG00000233893,['MONDO_0007254'],,No location data
ENSG00000154134,['MONDO_0007254'],1,"Membrane,Plasma membrane,Vesicles"
ENSG00000134827,['MONDO_0007254'],0,Secreted
ENSG00000118193,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Midbody,Cytosol,Midbody ring"
ENSG00000243977,['MONDO_0007254'],,No location data
ENSG00000228789,['MONDO_0007254'],0,Secreted
ENSG00000162398,['MONDO_0007254'],,No location data
ENSG00000186567,['MONDO_0007254'],0,"Membrane,Mitochondria,Nucleoli,Nucleoplasm"
ENSG00000171303,['MONDO_0007254' 'MONDO_0007254'],1,Cell membrane
ENSG00000108179,['MONDO_0007254'],0,"Mitochondrion matrix,Mitochondria"
ENSG00000176124,['MONDO_0007254'],,No location data
ENSG00000204262,['MONDO_0007254'],0,Secreted
ENSG00000129422,['MONDO_0007254'],0,"Mitochondrion,Golgi apparatus,Nucleus,[Isoform 1]: Cytoplasm,Cytoplasm,Microtubules,Nucleoli"
ENSG00000272578,['MONDO_0007254'],,No location data
ENSG00000237945,['MONDO_0007254'],,No location data
ENSG00000223784,['MONDO_0007254'],,No location data
ENSG00000151893,['MONDO_0007254'],0,Nucleoplasm
ENSG00000163288,['MONDO_0007254'],1,"Postsynaptic cell membrane,Cell membrane"
ENSG00000246223,['MONDO_0007254'],,No location data
ENSG00000080224,['MONDO_0007254' 'MONDO_0007254'],0,"Membrane,Nucleoplasm"
ENSG00000163083,['MONDO_0007254'],0,"Secreted,Vesicles,Predicted to be secreted"
ENSG00000186297,['MONDO_0007254'],1,"Postsynaptic cell membrane,Cell membrane,Plasma membrane,Nucleoplasm"
ENSG00000168785,['MONDO_0007254'],1,"Cell membrane,Actin filaments,Plasma membrane,Nucleoplasm"
ENSG00000198791,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Nuclear bodies"
ENSG00000166823,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Nucleoli"
ENSG00000196876,['MONDO_0007254'],1,"Cell membrane,Cell projection,[Isoform 5]: Cytoplasmic vesicle,Plasma membrane,Cell Junctions,Vesicles"
ENSG00000228253,['MONDO_0007254'],0,Mitochondrion membrane
ENSG00000250366,['MONDO_0007254'],0,"Endoplasmic reticulum membrane,Extracellular vesicle membrane"
ENSG00000126883,['MONDO_0007254'],0,Nucleus
ENSG00000277258,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000225968,['MONDO_0007254'],0,"Membrane,Cell projection,Cell Junctions,Nucleoplasm"
ENSG00000120616,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Nucleoplasm,Nuclear bodies,Nucleoli"
ENSG00000148377,['MONDO_0007254'],0,"Peroxisome,Vesicles"
ENSG00000152270,['MONDO_0007254'],0,"Membrane,Endoplasmic reticulum"
ENSG00000143816,['MONDO_0007254'],0,Secreted
ENSG00000008517,['MONDO_0007254'],0,Secreted
ENSG00000229558,['MONDO_0007254'],,No location data
ENSG00000010319,['MONDO_0007254'],0,Secreted
ENSG00000104313,['MONDO_0007254'],0,"Cytoplasm,Nucleus,Nuclear bodies,Nucleoplasm"
ENSG00000177519,['MONDO_0007254'],0,Cytoplasm
ENSG00000161055,['MONDO_0007254'],0,Secreted
ENSG00000178732,['MONDO_0007254'],0,"Membrane,Cytosol"
ENSG00000133124,['MONDO_0007254'],1,Cell membrane
ENSG00000104889,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Cytosol"
ENSG00000102878,['MONDO_0007254'],0,"Nucleus,Nuclear speckles"
ENSG00000183773,['MONDO_0007254'],0,"Mitochondrion,Mitochondria"
ENSG00000109674,['MONDO_0007254'],0,"Nucleus,Chromosome,Nucleoplasm"
ENSG00000106952,['MONDO_0007254'],0,Membrane
ENSG00000233608,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Nucleoplasm,Nucleoli"
ENSG00000080854,['MONDO_0007254'],0,"Postsynaptic cell membrane,Cell Junctions,Golgi apparatus"
ENSG00000158014,['MONDO_0007254'],0,"[Isoform 1]: Cytoplasmic vesicle,Zymogen granule membrane,Endosome membrane,Lysosome membrane,Mitochondrion inner membrane,[Isoform 2]: Cell membrane,Vesicles"
ENSG00000125845,['MONDO_0007254'],0,"Secreted,Vesicles,Predicted to be secreted"
ENSG00000182379,['MONDO_0007254'],0,Secreted
ENSG00000279050,['MONDO_0007254'],,No location data
ENSG00000115602,['MONDO_0007254'],1,"[Isoform C]: Cell membrane,[Isoform B]: Secreted,Cell membrane,Plasma membrane,Cytosol,Focal adhesion sites,Predicted to be secreted"
ENSG00000173530,['MONDO_0007254'],1,"Membrane,Actin filaments,Plasma membrane"
ENSG00000161649,['MONDO_0007254'],1,"Apical cell membrane,Basolateral cell membrane,Endosome"
ENSG00000206561,['MONDO_0007254'],1,"Synapse,Plasma membrane,Cell Junctions,Predicted to be secreted"
ENSG00000241684,['MONDO_0007254'],,No location data
ENSG00000184845,['MONDO_0007254'],1,"Cell membrane,Endoplasmic reticulum membrane,Cell projection,Plasma membrane,Cytosol"
ENSG00000229637,['MONDO_0007254'],0,Nucleus
ENSG00000230838,['MONDO_0007254'],,No location data
ENSG00000248859,['MONDO_0007254'],,No location data
ENSG00000132964,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
