id,rna_value_breast,study_id,Log2FoldChangeValue,Contrast,Log_RNA_Value_Breast
ENSG00000175471,1500.0,,,,7.313886831633462
ENSG00000104321,5.0,E-GEOD-52194,5.4,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',1.791759469228055
ENSG00000221716,8.0,,,,2.1972245773362196
ENSG00000140396,2680.0,,,,7.893945138235959
ENSG00000164778,9.0,E-MTAB-779,1.5,'breast carcinoma' vs 'normal',2.302585092994046
ENSG00000113073,5.0,,,,1.791759469228055
ENSG00000244474,0.0,,,,0.0
ENSG00000128652,69.0,,,,4.248495242049359
ENSG00000134955,383.0,,,,5.950642552587727
ENSG00000160716,13.0,,,,2.6390573296152584
ENSG00000189079,1553.0,,,,7.348587530927593
ENSG00000136931,3.0,,,,1.3862943611198906
ENSG00000196420,7.0,,,,2.0794415416798357
ENSG00000111012,56.0,,,,4.04305126783455
ENSG00000142065,417.0,,,,6.035481432524756
ENSG00000127364,46.0,,,,3.8501476017100584
ENSG00000068097,666.0,,,,6.502790045915623
ENSG00000157330,2.0,,,,1.0986122886681098
ENSG00000112246,161.0,,,,5.087596335232384
ENSG00000132740,1271.0,,,,7.148345743900068
ENSG00000178795,4.0,,,,1.6094379124341003
ENSG00000234741,9247.0,,,,9.13216259091216
ENSG00000128656,501.0,E-GEOD-54002,-1.5,'breast cancer' vs 'normal',6.218600119691729
ENSG00000128656,501.0,E-GEOD-20086,1.1,'breast cancer' vs 'normal',6.218600119691729
ENSG00000022556,83.0,,,,4.430816798843313
ENSG00000100387,1719.0,,,,7.450079569807499
ENSG00000205592,3.0,E-GEOD-52194,5.7,'triple-negative breast cancer; breast carcinoma' vs 'normal',1.3862943611198906
ENSG00000205592,3.0,E-GEOD-52194,6.2,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',1.3862943611198906
ENSG00000109101,8.0,,,,2.1972245773362196
ENSG00000111247,60.0,E-GEOD-54002,1.7,'breast cancer' vs 'normal',4.110873864173311
ENSG00000111247,60.0,E-GEOD-31138,2.2,'invasive ductal carcinoma' vs 'normal',4.110873864173311
ENSG00000111247,60.0,E-GEOD-10780,1.4,'breast carcinoma' vs 'normal',4.110873864173311
ENSG00000111247,60.0,E-GEOD-38959,1.8,'breast cancer; breast' vs 'normal; breast',4.110873864173311
ENSG00000112116,0.0,,,,0.0
ENSG00000254703,96.0,,,,4.574710978503383
ENSG00000164794,2.0,,,,1.0986122886681098
ENSG00000201098,0.0,E-GEOD-52194,9.6,'triple-negative breast cancer; breast carcinoma' vs 'normal',0.0
ENSG00000201098,0.0,E-GEOD-52194,10.3,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',0.0
ENSG00000201098,0.0,E-GEOD-52194,10.0,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',0.0
ENSG00000101144,71.0,,,,4.276666119016055
ENSG00000267272,285.0,,,,5.655991810819852
ENSG00000255986,94.0,,,,4.553876891600541
ENSG00000122644,1319.0,E-GEOD-38959,-1.9,'breast cancer; breast' vs 'normal; breast',7.1853870155804165
ENSG00000114204,4.0,,,,1.6094379124341003
ENSG00000277734,262.0,E-GEOD-44408,2.5,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',5.572154032177765
ENSG00000249395,5.0,E-GEOD-52194,6.1,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',1.791759469228055
ENSG00000137273,125.0,,,,4.836281906951478
ENSG00000196167,265.0,E-MTAB-779,-1.2,'breast carcinoma' vs 'normal',5.583496308781699
ENSG00000196167,265.0,E-GEOD-7377,2.6,'benign hyperplastic enlarged lobular unit' vs 'normal terminal duct lobular unit',5.583496308781699
ENSG00000273820,136.0,,,,4.919980925828125
ENSG00000180806,396.0,,,,5.983936280687191
ENSG00000049167,264.0,,,,5.579729825986222
ENSG00000186594,2360.0,,,,7.766840537085513
ENSG00000101457,906.0,,,,6.810142450115136
ENSG00000204520,1494.0,,,,7.3098814858247865
ENSG00000175879,858.0,E-GEOD-54002,1.8,'breast cancer' vs 'normal',6.755768921984255
ENSG00000104972,147.0,E-GEOD-44408,1.2,'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation',4.997212273764115
ENSG00000198719,1420.0,,,,7.259116128097101
ENSG00000233725,5.0,,,,1.791759469228055
ENSG00000120075,97.0,,,,4.584967478670572
ENSG00000115738,3210.0,,,,8.074337694089515
ENSG00000159625,1.0,,,,0.6931471805599453
ENSG00000100296,1716.0,,,,7.448333860897476
ENSG00000074219,2066.0,,,,7.633853559681768
ENSG00000187135,0.0,,,,0.0
ENSG00000230176,1.0,,,,0.6931471805599453
ENSG00000174429,8.0,,,,2.1972245773362196
ENSG00000105568,9232.0,,,,9.130539301772627
ENSG00000130700,1.0,,,,0.6931471805599453
ENSG00000090932,1.0,,,,0.6931471805599453
ENSG00000005812,3378.0,,,,8.12533508671429
ENSG00000187474,186.0,,,,5.231108616854587
ENSG00000167767,259.0,,,,5.560681631015528
ENSG00000233893,0.0,,,,0.0
ENSG00000154134,1282.0,E-MTAB-779,-1.4,'breast carcinoma' vs 'normal',7.1569563646156364
ENSG00000154134,1282.0,E-GEOD-38959,-2.1,'breast cancer; breast' vs 'normal; breast',7.1569563646156364
ENSG00000134827,72.0,E-GEOD-54002,-3.9,'breast cancer' vs 'normal',4.290459441148391
